-6581.8,-5702.84,1
-6961.5,-6037.166667,1
-2,-1.982142857,0
-2,-1.953125,0
-2,-1.983783784,0
-2,-1.948571429,0
-1.8,-1.94893617,0
-2,-1.950877193,0
-5683.8,-6033.978571,1
-2,-1.982222222,0
-5377,-5603,1
-2,-1.95,0
-2,-1.951219512,0
-2,-1.984,0
-2,-1.96043956,0
-2,-1.952,0
-4179.2,-6249.895652,1
-7138.1,-5775.24,1
-7116.2,-6022.053846,1
-2,-1.982978723,0
-2,-1.984615385,0
-2,-1.985365854,0
-1.8,-1.9,0
-3567.8,-5896.382474,1
-3452.3,-5920.638542,1
-7012.3,-5966.769492,1
-7219,-5747.426531,1
-7098.3,-6160.82,1
-5620,-6017.65,1
-7105.8,-6113.766176,1
-2,-2,0
-4124.7,-5575.879412,1
-2,-1.947826087,0
-2,-1.951724138,0
-1.8,-1.984615385,0
-7085.1,-6127.843478,1
-4456.1,-5513.6825,1
-7162.5,-5622.131111,1
-2,-1.984210526,0
-7027.3,-6093.857143,1
